date,code,open,high,low,close,volume
2021-01-04,sh.000001,3474.6793,3511.6554,3457.2061,3502.9584,38079080000
2021-01-05,sh.000001,3492.1912,3528.6767,3484.7151,3528.6767,40799593400
2021-01-06,sh.000001,3530.9072,3556.8022,3513.1262,3550.8767,37023092600
2021-01-07,sh.000001,3552.9087,3576.2046,3526.6174,3576.2046,40534822600
2021-01-08,sh.000001,3577.6923,3588.0625,3544.8912,3570.1082,34555789600
2021-01-11,sh.000001,3571.3212,3597.7022,3516.9862,3531.4978,36247915400
2021-01-12,sh.000001,3518.0106,3608.3389,3517.4689,3608.3389,32340615300
2021-01-13,sh.000001,3613.2810,3622.3475,3575.5945,3598.6518,38812779100
2021-01-14,sh.000001,3584.9324,3599.0584,3559.6001,3565.9046,34766681900
2021-01-15,sh.000001,3566.2847,3589.2655,3533.7882,3566.3778,32461274400
2021-01-18,sh.000001,3554.7977,3608.7665,3544.2614,3596.2237,30165256500
2021-01-19,sh.000001,3596.3564,3603.1477,3553.0236,3566.3814,32343954100
2021-01-20,sh.000001,3564.1210,3589.9624,3556.4425,3583.0920,27227166100
2021-01-21,sh.000001,3590.9247,3636.2444,3585.8017,3621.2641,32746699500
2021-01-22,sh.000001,3616.5401,3616.5401,3585.0339,3606.7496,32446308400
2021-01-25,sh.000001,3605.3611,3637.1002,3591.0204,3624.2381,32734107000
2021-01-26,sh.000001,3610.9686,3610.9686,3564.7415,3569.4290,27813988400
2021-01-27,sh.000001,3567.5485,3578.7968,3546.4920,3573.3412,26410716100
2021-01-28,sh.000001,3534.6685,3549.5440,3496.8788,3505.1759,27086246100
2021-01-29,sh.000001,3521.7175,3531.5981,3446.5471,3483.0692,29366266400
2021-02-01,sh.000001,3477.1715,3506.3889,3469.8750,3505.2836,27756790100
2021-02-02,sh.000001,3510.8084,3535.5020,3495.5681,3533.6849,26454063000
2021-02-03,sh.000001,3531.1490,3544.0092,3508.5069,3517.3080,29735171600
2021-02-04,sh.000001,3503.7785,3524.7219,3465.7706,3501.8592,29883485400
2021-02-05,sh.000001,3509.4874,3536.5417,3492.9624,3496.3329,29014617400
2021-02-08,sh.000001,3504.5631,3542.2075,3492.1286,3532.4467,24979961900
2021-02-09,sh.000001,3539.7726,3604.0112,3528.6755,3603.4890,25382176000
2021-02-10,sh.000001,3612.6125,3662.7655,3612.5049,3655.0880,25794082400
2021-02-18,sh.000001,3721.0865,3731.6870,3663.6637,3675.3571,34030906500
2021-02-19,sh.000001,3661.7834,3699.6502,3634.0149,3696.1680,36105980400
2021-02-22,sh.000001,3707.1912,3717.2669,3642.4449,3642.4449,48882147800
2021-02-23,sh.000001,3617.7013,3672.1511,3617.7013,3636.3573,39887317400
2021-02-24,sh.000001,3638.9359,3645.6474,3531.5936,3564.0799,36215895200
2021-02-25,sh.000001,3595.5424,3608.5568,3568.4735,3585.0458,36623229900
2021-02-26,sh.000001,3514.5648,3550.4055,3500.7036,3509.0804,33328006700
2021-03-01,sh.000001,3531.4802,3552.5665,3511.9888,3551.3998,31548752600
2021-03-02,sh.000001,3566.8520,3566.8520,3485.3635,3508.5912,33983048600
2021-03-03,sh.000001,3500.1576,3577.6218,3498.7192,3576.9045,34765684600
2021-03-04,sh.000001,3546.6406,3552.2024,3487.3757,3503.4916,39361612000
2021-03-05,sh.000001,3463.3086,3523.5682,3456.6668,3501.9867,35640922300
2021-03-08,sh.000001,3524.9830,3542.3039,3421.2153,3421.4141,38704795400
2021-03-09,sh.000001,3415.3391,3429.1503,3328.3119,3359.2920,40765253900
2021-03-10,sh.000001,3389.8388,3397.0251,3354.8230,3357.7372,29974916600
2021-03-11,sh.000001,3369.9024,3436.8313,3369.9024,3436.8313,32211204400
2021-03-12,sh.000001,3447.2033,3454.5064,3417.2389,3453.0777,35802703500
2021-03-15,sh.000001,3441.8820,3457.4892,3392.5089,3419.9456,36781329300
2021-03-16,sh.000001,3424.6524,3448.8829,3406.1746,3446.7334,31666874700
2021-03-17,sh.000001,3435.7319,3454.0562,3410.2815,3445.5509,28005981800
2021-03-18,sh.000001,3449.6413,3478.1447,3449.3774,3463.0681,28440389100
2021-03-19,sh.000001,3423.8733,3439.5236,3389.2929,3404.6634,30916171600
2021-03-22,sh.000001,3406.1227,3443.6596,3404.2341,3443.4392,31255908400
2021-03-23,sh.000001,3445.3408,3445.4159,3390.0477,3411.5088,32638940900
2021-03-24,sh.000001,3394.1283,3415.2949,3362.1847,3367.0606,31739869700
2021-03-25,sh.000001,3355.0706,3382.2260,3344.9695,3363.5915,27067609700
2021-03-26,sh.000001,3373.3171,3423.2231,3373.3171,3418.3267,27461498700
2021-03-29,sh.000001,3429.6322,3449.8338,3409.8868,3435.2958,28482424300
2021-03-30,sh.000001,3432.5288,3457.6345,3423.3154,3456.6766,28542308100
2021-03-31,sh.000001,3452.2078,3452.2078,3420.8321,3441.9115,28304926100
2021-04-01,sh.000001,3444.8102,3470.0311,3438.8255,3466.3315,27524429500
2021-04-02,sh.000001,3472.6276,3487.5862,3462.8321,3484.3924,26265487300
2021-04-06,sh.000001,3491.6336,3493.2806,3471.7610,3482.9674,23474667100
2021-04-07,sh.000001,3483.4211,3483.4211,3453.1947,3479.6256,29578697800
2021-04-08,sh.000001,3467.4871,3495.9086,3459.3246,3482.5548,33175532900
2021-04-09,sh.000001,3475.4434,3475.4467,3442.1392,3450.6772,28008519600
2021-04-12,sh.000001,3445.9696,3456.1581,3403.9012,3412.9477,30957723900
2021-04-13,sh.000001,3411.2928,3425.3945,3387.9020,3396.4700,27062605400
2021-04-14,sh.000001,3397.0210,3420.0278,3392.9751,3416.7212,23324232700
2021-04-15,sh.000001,3409.6139,3409.6139,3373.0939,3398.9875,23400505400
2021-04-16,sh.000001,3407.1880,3432.6286,3394.1344,3426.6178,25857967200
2021-04-19,sh.000001,3427.5480,3479.0099,3414.3564,3477.5485,30273581900
2021-04-20,sh.000001,3467.1481,3494.2983,3463.4637,3472.9427,28530008200
2021-04-21,sh.000001,3456.2991,3481.2511,3450.1113,3472.9298,25377785900
2021-04-22,sh.000001,3482.8328,3485.3585,3456.3156,3465.1138,25111451000
2021-04-23,sh.000001,3462.0858,3482.3587,3456.3329,3474.1660,24936043300
2021-04-26,sh.000001,3484.1072,3497.1208,3438.5724,3441.1658,27697077100
2021-04-27,sh.000001,3440.0911,3443.8538,3417.2647,3442.6111,25303239300
2021-04-28,sh.000001,3432.1612,3457.0683,3423.3250,3457.0683,24738112000
2021-04-29,sh.000001,3458.0819,3478.2278,3447.5878,3474.9011,27663138700
2021-04-30,sh.000001,3468.3022,3469.0872,3426.9023,3446.8564,31266035400
2021-05-06,sh.000001,3446.0743,3471.2396,3426.8487,3441.2826,31042419200
2021-05-07,sh.000001,3446.4070,3457.8924,3416.7755,3418.8741,35378538900
2021-05-10,sh.000001,3423.5896,3429.7359,3401.9346,3427.9909,37417088400
2021-05-11,sh.000001,3406.5980,3448.0959,3384.6966,3441.8454,35093411200
2021-05-12,sh.000001,3429.7544,3466.3708,3428.3944,3462.7513,31144454700
2021-05-13,sh.000001,3432.1380,3448.0169,3418.3846,3429.5361,31932532700
2021-05-14,sh.000001,3436.0919,3490.6437,3422.5649,3490.3762,33698230900
2021-05-17,sh.000001,3490.4091,3530.5055,3490.1438,3517.6158,32213596900
2021-05-18,sh.000001,3520.6488,3529.0144,3510.8620,3529.0144,27130855800
2021-05-19,sh.000001,3521.1097,3521.1097,3503.8151,3510.9647,27832111700
2021-05-20,sh.000001,3500.8773,3517.7399,3486.0662,3506.9444,32600933300
2021-05-21,sh.000001,3510.8353,3518.3769,3479.6744,3486.5569,28382628500
2021-05-24,sh.000001,3486.2711,3498.3037,3469.8746,3497.2821,28950924200
2021-05-25,sh.000001,3502.5390,3584.5774,3502.4429,3581.3418,34124112700
2021-05-26,sh.000001,3586.8388,3603.4881,3585.3695,3593.3570,34198028800
2021-05-27,sh.000001,3585.7337,3626.3584,3579.2601,3608.8507,30955148600
2021-05-28,sh.000001,3610.7668,3622.1801,3582.3580,3600.7844,34920883000
2021-05-31,sh.000001,3600.0702,3615.6568,3580.6524,3615.4773,33152377000
2021-06-01,sh.000001,3608.5978,3626.0737,3581.9115,3624.7138,35281141300
2021-06-02,sh.000001,3626.3283,3629.2896,3584.5955,3597.1379,34855842000
2021-06-03,sh.000001,3595.4215,3618.5067,3584.2054,3584.2121,35423303100
2021-06-04,sh.000001,3565.4716,3618.8001,3561.8907,3591.8447,33089303800
2021-06-07,sh.000001,3597.1413,3600.3759,3581.8988,3599.5410,30371867700
